,precision,recall,f1-score,support
CANDIDATE,0.6163793103448276,0.39557399723374825,0.4818871103622578,723.0
CONFIRMED,0.7004048582995951,0.8940568475452196,0.7854710556186152,1548.0
FALSE_POSITIVE,0.6570397111913358,0.4080717488789238,0.5034578146611342,446.0
accuracy,0.6816341553183658,0.6816341553183658,0.6816341553183658,0.6816341553183658
macro avg,0.6579412932785861,0.5659008645526306,0.5902719935473357,2717.0
weighted avg,0.6709270052331319,0.6816341553183658,0.6583937284609477,2717.0
