,accuracy,precision,recall,f1_score,time
ExtraTrees_Optimized,0.6816341553183658,0.6709270052331319,0.6816341553183658,0.6583937284609477,0.06913352012634277
VotingEnsemble,0.6808980493191019,0.6704665450198137,0.6808980493191019,0.6569863991042975,0.17363286018371582
LightGBM_Optimized,0.6742730953257269,0.6608109077273042,0.6742730953257269,0.6563151978768871,0.04577517509460449
XGBoost_Optimized,0.6716967243283033,0.6564804743859578,0.6716967243283033,0.6532337877537155,0.010739564895629883
RandomForest_Optimized,0.6635995583364005,0.6513697370563056,0.6635995583364005,0.6315303811820911,0.07121634483337402
