pl_name,hostname,discoverymethod,disc_year,period,prad,teq,insol,dor,srad,smass,sage,steff,slogg,smet,ra,dec,disposition,source
Kepler-216 b,Kepler-216,Transit,2014,7.69364042,2.867,,476.0,,1.545,1.126,5.13,6119.0,,-0.07,293.7280695,46.1291139,CONFIRMED,PS
Kepler-32 c,Kepler-32,Transit,2011,8.7522,2.0,,,,0.53,0.58,,3900.0,4.64,0.0,297.8423073,46.5743595,CONFIRMED,PS
Kepler-32 c,Kepler-32,Transit,2011,8.752,2.02,,,,0.529,0.566,,,,,297.8423073,46.5743595,CONFIRMED,PS
Kepler-32 c,Kepler-32,Transit,2011,8.75210645,2.2,449.0,9.65,19.15,0.5,0.52,,3727.0,4.756,0.04,297.8423073,46.5743595,CONFIRMED,PS
Kepler-32 c,Kepler-32,Transit,2011,8.75210645,2.2,449.0,9.65,19.15,0.5,0.52,,3727.0,4.756,0.04,297.8423073,46.5743595,CONFIRMED,PS
Kepler-32 c,Kepler-32,Transit,2011,8.75210645,2.2,449.0,9.65,19.15,0.5,0.52,,3727.0,4.756,0.04,297.8423073,46.5743595,CONFIRMED,PS
Kepler-32 c,Kepler-32,Transit,2011,8.75209691,1.83,451.0,9.76,29.11,0.498,0.509,,3731.0,4.75,-0.02,297.8423073,46.5743595,CONFIRMED,PS
Kepler-32 c,Kepler-32,Transit,2011,8.75208025,1.98,,9.7,,0.574432,0.566709,,3791.0,4.67295,,297.8423073,46.5743595,CONFIRMED,PS
Kepler-32 c,Kepler-32,Transit,2011,8.75210645,2.37,,,,0.54,0.57,2.69,3903.0,4.72,-0.07,297.8423073,46.5743595,CONFIRMED,PS
Kepler-32 c,Kepler-32,Transit,2011,8.7522,2.0,470.0,,,0.53,0.54,2.0,3793.0,,-0.01,297.8423073,46.5743595,CONFIRMED,PS
Kepler-32 c,Kepler-32,Transit,2011,8.752,1.94,,10.68,19.985,0.506,0.514,,3787.0,4.741,-0.1,297.8423073,46.5743595,CONFIRMED,PS
